#organism	abbrev	total genes	total length	num chr	institution	reference	rel. date	mod. date	update	gtps	refseq	gbk(genbank)	source
Halalkalicoccus jeotgali B3	hje	3,941	3,698,650	7	Kyung Hee University	J. Bacteriol. 192 (17), 4528-4529 (2010)	2010-06-23	2014-12-17	2015-04-24		NC_014297,NC_014298,NC_014299,NC_014300,NC_014301,NC_014302,NC_014303	CP002062,CP002063,CP002064,CP002065,CP002066,CP002067,CP002068	refseq
Halanaeroarchaeum sulfurireducens HSR2	hsu	2,228	2,209,738	2		ISME J (2015) In press	2015-05-21	2015-05-21	2016-05-19		NC_007243		gbk
Haloarcula hispanica ATCC 33960	hhi	3,892	3,890,005	3	Chinese Academy of Sciences	J. Bacteriol. 193 (21), 6086-6087 (2011)	2011-08-17	2014-12-17	2015-04-24		NC_015948,NC_015943,NC_015944	CP002921,CP002922,CP002923	refseq
Haloarcula hispanica N601	hhn	3,743	3,901,495	4		Unpublished	2013-12-09	2015-03-29	2016-05-19		NC_023013,NC_023010,NC_023011,NC_023012	CP006884,CP006885,CP006886,CP006887	refseq
Haloarcula marismortui ATCC 43049	hma	4,380	4,274,642	9	Institute for Systems Biology	Genome Res. 14 (11), 2221-2234 (2004)	2004-11-04	2014-12-16	2015-04-24		NC_006389,NC_006390,NC_006391,NC_006392,NC_006393,NC_006394,NC_006395,NC_006396,NC_006397	AY596290,AY596291,AY596292,AY596293,AY596294,AY596295,AY596296,AY596297,AY596298	refseq
Haloarcula sp. CBA1115	hab	3,916	4,225,046	6		Unpublished	2015-01-23	2015-01-23	2016-05-19		NC_007243		gbk
Halobacterium salinarum R1; DSM 671	hsl	2,832	2,668,776	5	Max Planck Institute	(er) Genomics (2008) In press	2008-02-19	2014-12-16	2015-04-24		NC_010364,NC_010366,NC_010369,NC_010368,NC_010367	AM774415,AM774416,AM774417,AM774418,AM774419	refseq
Halobacterium sp. NRC-1	hal	2,787	2,571,010	3	University of Massachusetts-Amherst, University of Washington	Proc. Natl. Acad. Sci. U.S.A. 97 (22), 12176-12181 (2000)	2000-10-24	2014-12-16	2015-04-24		NC_002607,NC_002608,NC_001869	AE004437,AE004438,AF016485	refseq
Halobacterium sp. DL1	hdl	3,280	3,162,560	2		Submitted (10-JAN-2014) DOE Joint Genome Institute, 2800 Mit	2011-10-18	2014-01-13	2015-04-24		NC_007243		gbk
Halomicrobium mukohataei DSM 12286	hmu	3,374	3,332,349	2	 DOE Joint Genome Institute	Unpublished	2009-09-03	2014-12-17	2015-04-24		NC_013202,NC_013201	CP001688,CP001689	refseq
Halorhabdus tiamatea SARL4B type strain: SARL4B	hti	3,007	3,146,160	2	NCBI	Unpublished	2012-12-19	2015-03-29	2016-05-19		NC_021921,NC_021913	HF571520,HF571521	refseq
Halorhabdus utahensis DSM 12940	hut	3,019	3,116,795	1	DOE Joint Genome Institute	Unpublished	2009-07-01	2014-12-17	2015-04-24		NC_013158	CP001687	refseq
Natronomonas moolapensis 8.8.11	nmo	2,749	2,912,573	1	Max-Planck-Institute of Biochemistry	Unpublished	2013-02-21	2014-12-17	2015-04-24		NC_020388	HF582854	refseq
Natronomonas pharaonis DSM 2160; Gabara	nph	2,837	2,749,696	3	Max Planck Institute	Genome Res. 15 (10), 1336-1343 (2005)	2005-10-03	2014-12-16	2015-04-24		NC_007426,NC_007427,NC_007428	CR936257,CR936258,CR936259	refseq
Haloferax mediterranei ATCC 33500 CGMCC 1.2087	hme	3,863	3,904,707	4	Institute of Microbiology, Chinese Academy of Sciences	J. Bacteriol. 194 (16), 4463-4464 (2012)	2012-05-22	2013-06-11	2016-05-19		NC_017941,NC_017942,NC_017943,NC_017944	CP001868,CP001869,CP001870,CP001871	refseq
Haloferax mediterranei ATCC 33500	gm02962	3,592	3,906,699	4		Unpublished	2014-05-08	2014-05-08	2015-04-24			CP007551,CP007552,CP007553,CP007554	gbk
Haloferax volcanii DS2	hvo	4,070	4,012,900	5	TIGR	PLoS ONE 5 (3), E9605 (2010)	2010-03-23	2014-12-17	2015-04-24		NC_013964,NC_013965,NC_013966,NC_013967,NC_013968	CP001953,CP001954,CP001955,CP001956,CP001957	refseq
Halogeometricum borinquense DSM 11551	hbo	3,928	3,944,467	6	DOE Joint Genome Institute 	Unpublished	2009-04-27	2014-12-17	2015-04-24		NC_014729,NC_014735,NC_014731,NC_014736,NC_014732,NC_014737	CP001690,CP001691,CP001692,CP001693,CP001694,CP001695	refseq
Haloquadratum walsbyi C23 DSM 16854	hwc	2,929	3,260,476	4	Max-Planck-Institute of Biochemistry	PLoS ONE 6 (6), E20968 (2011)	2011-05-31	2014-12-17	2015-04-24		NC_017459,NC_017457,NC_017460,NC_017458	FR746099,FR746100,FR746101,FR746102	refseq
Haloquadratum walsbyi DSM 16790 : HBSQ001	hwa	2,762	3,179,361	2	Max Planck Institute	BMC Genomics. 2006 Jul 4;7:169.	2006-07-24	2014-12-16	2015-04-24		NC_008212,NC_008213	AM180088,AM180089	refseq
Halorubrum lacusprofundi ATCC 49239	hla	3,642	3,692,576	3	DOE Joint Genome Institute	Unpublished	2009-02-04	2014-12-17	2015-04-24		NC_012029,NC_012028,NC_012030	CP001365,CP001366,CP001367	refseq
Halopiger xanaduensis SH-6	hxa	4,242	4,355,268	4	US DOE Joint Genome Institute	Unpublished	2011-06-09	2014-12-18	2015-04-24		NC_015666,NC_015658,NC_015667,NC_015659	CP002839,CP002840,CP002841,CP002842	refseq
Halostagnicola larsenii XH-48	hlr	4,171	4,131,176	5		Submitted (10-JAN-2014) DOE Joint Genome Institute, 2800 Mit	2014-01-13	2014-06-11	2015-04-24			CP007055,CP007056,CP007057,CP007058,CP007059	gbk
Haloterrigena turkmenica DSM 5511	htu	5,206	5,440,782	7	DOE Joint Genome Institute	Unpublished	2010-01-19	2014-12-17	2015-04-24		NC_013743,NC_013744,NC_013745,NC_013746,NC_013747,NC_013748,NC_013749	CP001860,CP001861,CP001862,CP001863,CP001864,CP001865,CP001866	refseq
Halovivax ruber XH-70	hru	3,099	3,223,876	1	DOE Joint Genome Institute	Unpublished	2012-12-27	2014-12-17	2015-04-24		NC_019964	CP003050	refseq
Natrialba magadii ATCC 43099	nmg	4,273	4,443,643	4	DOE Joint Genome Institute	Unpublished	2009-03-06	2014-12-17	2015-04-24		NC_013922,NC_013923,NC_013924,NC_013925	CP001932,CP001933,CP001934,CP001935	refseq
Natrinema pellirubrum DSM 15624	npe	4,199	4,354,100	3	JGI	Unpublished	2012-12-27	2014-12-17	2015-04-24		NC_019962,NC_019967,NC_019963	CP003372,CP003373,CP003374	refseq
Natrinema sp. J7-2	nat	4,302	3,793,615	2	Nankai University	Unpublished	2012-07-25	2014-12-17	2015-04-24		NC_018224,NC_018225	CP003412,CP003413	refseq
Natronobacterium gregoryi SP2	nge	3,656	3,788,356	1	DOE Joint Genome Institute	Unpublished	2012-12-10	2014-12-17	2015-04-24		NC_019792	CP003377	refseq
Natronococcus occultus SP4	nou	4,154	4,314,118	3	JGI	Unpublished	2012-12-28	2014-12-17	2015-04-24		NC_019974,NC_019975,NC_019976	CP003929,CP003930,CP003931	refseq
Salinarchaeum sp. Harcht-Bsk1	sali	3,013	3,255,260	1		Unpublished	2013-05-30	2014-12-18	2015-04-24		NC_021313	CP005962	refseq
Methanobacterium formicicum BRM9	gm03635	2,339	2,449,987	1		Unpublished	2014-10-02	2015-06-25	2016-05-19		NZ_CP006933	CP006933	refseq
Methanobacterium formicicum	gm03636	2,355	2,478,074	1		Submitted (27-AUG-2014) CEBITEC, Genome Research of Industri	2014-09-10	2015-06-25	2016-05-19		NZ_LN515531	LN515531	refseq
Methanobacterium sp. AL-21	mel	2,511	2,583,753	1	US DOE Joint Genome Institute	Unpublished	2011-03-07	2015-06-05	2016-05-19		NC_015216	CP002551	refseq
Methanobacterium sp. SWAN-1	mew	2,416	2,546,541	1	US DOE Joint Genome Institute	Unpublished	2011-05-24	2014-12-18	2015-04-24		NC_015574	CP002772	refseq
Methanobacterium sp. MB1	meth	1,926	2,029,766	1	NCBI	Unpublished	2013-11-14	2015-03-23	2016-05-19		NC_023044	HG425166	refseq
Methanobrevibacter ruminantium M1	mru	2,218	2,937,203	1	AgResearch	PLoS ONE 5 (1), E8926 (2010)	2009-02-05	2014-12-17	2015-04-24		NC_013790	CP001719	refseq
Methanobrevibacter smithii ATCC 35061; PS; DSMZ 861	msi	1,796	1,853,160	1	Washington University (WashU)	Proc. Natl. Acad. Sci. U.S.A. (2007) In press	2007-06-04	2014-12-17	2015-04-24		NC_009515	CP000678	refseq
Methanobrevibacter sp. AbM4	meb	1,671	1,998,189	1		Unpublished	2013-06-03	2014-12-18	2015-04-24		NC_021355	CP004050	refseq
Methanosphaera stadtmanae DSM 3091	mst	1,542	1,767,403	1	University of Goettingen	J. Bacteriol. 188 (2), 642-658 (2006)	2006-01-05	2014-12-17	2015-04-24		NC_007681	CP000102	refseq
Methanothermobacter marburgensis Marburg	mmg	1,763	1,639,135	2	Georg-August-University Goettingen	J. Bacteriol. 192 (21), 5850-5851 (2010)	2010-08-11	2014-12-17	2015-04-24		NC_014408,NC_014409	CP001710,CP001711	refseq
Methanothermobacter sp. CaT2	gm03663	1,746	1,731,018	2		Environ Microbiol Rep 6 (3), 268-277 (2014)	2012-12-03	2015-06-26	2016-05-19		NZ_AP011952,NZ_AP011953	AP011952,AP011953	refseq
Methanothermobacter thermautotrophicus delta H	mth	1,889	1,751,377	1	Oscient Pharmaceuticals Corporation	J. Bacteriol. 179 (22), 7135-7155 (1997)	1997-11-10	2014-12-16	2015-04-24		NC_000916	AE000666	refseq
Methanothermus fervidus DSM 2088	mfv	1,297	1,243,342	1	DOE Joint Genome Institute	Unpublished	2010-11-05	2014-12-17	2015-04-24		NC_014658	CP002278	refseq
Methanocaldococcus fervens AG86	mfe	1,637	1,507,251	2	DOE Joint Genome Institute	Unpublished	2009-08-28	2014-12-17	2015-04-24		NC_013156,NC_013157	CP001696,CP001697	refseq
Methanocaldococcus infernus ME	mif	1,463	1,328,194	1	DOE Joint Genome Institute	Unpublished	2009-06-23	2014-12-17	2015-04-24		NC_014122	CP002009	refseq
Methanococcus jannaschii DSM 2661	mja	1,837	1,739,927	3	TIGR	Science 273 (5278), 1058-1073 (1996)	1996-09-28	2014-12-16	2015-04-24		NC_000909,NC_001732,NC_001733	L77117,L77118,L77119	refseq
Methanocaldococcus sp. FS406-22	mfs	1,852	1,773,136	2	DOE Joint Genome Institute	Unpublished	2010-02-17	2014-12-17	2015-04-24		NC_013887,NC_013888	CP001901,CP001902	refseq
Methanocaldococcus sp. JH146	gm03637	1,621	1,607,556	1		Int. J. Syst. Evol. Microbiol. 65 (PT 4), 1280-1283 (2015)	2014-08-12	2015-06-26	2016-05-19		NZ_CP009149	CP009149	refseq
Methanocaldococcus vulcanius M7	mvu	1,763	1,761,737	3	DOE Joint Genome Institute	Unpublished	2009-10-15	2014-12-17	2015-04-24		NC_013407,NC_013408,NC_013409	CP001787,CP001788,CP001789	refseq
Methanotorris igneus Kol 5	mig	1,819	1,854,197	1	US DOE Joint Genome Institute	Unpublished	2011-05-23	2014-12-17	2015-04-24		NC_015562	CP002737	refseq
Methanococcus aeolicus Nankai-3	mae	1,508	1,569,500	1	DOE Joint Genome Institute	Unpublished	2007-06-29	2014-12-16	2015-04-24		NC_009635	CP000743	refseq
Methanococcus maripaludis C5	mmq	1,878	1,789,046	2	DOE Joint Genome Institute	Unpublished	2007-03-15	2014-12-17	2015-04-24		NC_009135,NC_009136	CP000609,CP000610	refseq
Methanococcus maripaludis C6	mmx	1,858	1,744,193	1	DOE Joint Genome Institute	Unpublished	2007-11-13	2014-12-17	2015-04-24		NC_009975	CP000867	refseq
Methanococcus maripaludis C7	mmz	1,839	1,772,694	1	DOE Joint Genome Institute	Unpublished	2007-06-29	2014-12-16	2015-04-24		NC_009637	CP000745	refseq
Methanococcus maripaludis S2	mmp	1,756	1,661,137	1	University of Washington	J. Bacteriol. 186(20), 6956-6969 (2004)	2004-03-11	2014-12-16	2015-04-24		NC_005791	BX950229	refseq
Methanococcus maripaludis X1	mmd	1,898	1,746,697	1	Petroleum reservoir formation water	J. Bacteriol. 193 (19), 5595 (2011)	2011-07-14	2014-12-17	2015-04-24		NC_015847	CP002913	refseq
Methanococcus vannielii SB	mvn	1,705	1,720,048	1	DOE Joint Genome Institute	Unpublished	2007-06-29	2014-12-16	2015-04-24		NC_009634	CP000742	refseq
Methanococcus voltae A3	mvo	1,729	1,936,387	1	DOE Joint Genome Institute	Unpublished	2007-11-01	2014-12-17	2015-04-24		NC_014222	CP002057	refseq
Methanothermococcus okinawensis IH1	mok	1,647	1,677,455	2	US DOE Joint Genome Institute (JGI-PGF)	Unpublished	2010-08-10	2014-12-17	2015-04-24		NC_015636,NC_015632	CP002792,CP002793	refseq
uncultured methanogenic archaeon RC-I	rci	3,134	3,179,916	1	Max-Planck-Institute	Science 313 (5785), 370-372 (2006)	2007-03-02	2014-12-16	2015-04-24		NC_009464	AM114193	refseq
Methanocella conradii HZ254	mez	2,455	2,378,438	1	China Agricultural University	Unpublished	2012-03-07	2014-12-17	2015-04-24		NC_017034	CP003243	refseq
Methanocella paludicola SANAE	mpd	3,014	2,957,635	1	NITE	Int. J. Syst. Evol. Microbiol. 58 (PT 4), 929-936 (2008)	2009-12-25	2014-12-17	2015-04-24		NC_013665	AP011532	refseq
Methanocorpusculum labreanum Z	mla	1,759	1,804,962	1	DOE Joint Genome Institute	Unpublished	2007-02-01	2014-12-16	2015-04-24		NC_008942	CP000559	refseq
Methanoculleus bourgensis MS2 type strain:MS2	mbg	2,618	2,789,773	1	irena.maus	Unpublished	2012-07-17	2013-08-28	2016-05-19		NC_018227	HE964772	refseq
Methanoculleus marisnigri JR1	mem	2,503	2,478,101	1	DOE Joint Genome Institute	Unpublished	2007-02-16	2014-12-16	2015-04-24		NC_009051	CP000562	refseq
Methanoplanus petrolearius DSM 11571	mpi	2,805	2,843,290	1	DOE Joint Genome Institute	Unpublished	2010-09-17	2014-12-17	2015-04-24		NC_014507	CP002117	refseq
Methanolinea tarda NOBI-1	gm03592	1,999	2,052,856	1		Genome Announc 2 (5) (2014)	2014-01-13	2015-07-08	2016-05-19		NZ_AGIY02000001	AGIY02000001	refseq
